example_id,message,reply,groundedness,factual_correctness,tone_match,likely_to_resolve
b0b5102aa15b87802dede19dccf8f7b4,My team leader watching every move @VirginTrains #virginfamily,Looking good guys! ^MW,5,5,5,5
6758cbf9abef426684eb3af2d36e14ba,what's the unreserved carriage for the bhm to pre 12 20 train?,Hi there. I'm afraid that service doesn't have an unreserved carriage. Sorry for the inconvenience. ^PA,5,5,3,2
4acb4b872896e538f4e2d515fd39cfa4,no at seat catering service either,"I'm sorry to hear that. This should be in place, but the onboard team would be best to advise further on your specific service. ^AB",4,4,2,2
f9de17e8b77db8ad3951ea8bc51bf5fa,my train was delayed from Preston to London on 5th Nov by two hours.. I booked on virgin online. When will my refund happen?,"If automatic Delay Repay was in process, you'd receive an email within 72 hours. Otherwise, please claim manually through our website. It can take up to 28 days to issue a response, though we aim for 14. ^CB",5,5,4,5
b028dc3bbc810da5c6fd4192c219d287,"Can we have some bloody air on the 11.30 from Euston to Glasgow. It's packed, it stinks and it's suffocating! @virgintrains",I'm really sorry to hear it's so uncomfortable on board. Please send us a DM with your carriage and seat number so we can alert the crew to check the air conditioning for you. ^BT,5,5,5,5
b19382d0eea0a617ae8d81300c13b037,A very nice weekend ruined by @VirginTrains,I'm really sorry to hear this. Could you let me know what happened so I can look into this for you? ^AB,5,5,5,5
623b1b6d3a571a3156fd4e05163d4087,"your ""Someone beat you to it, please pick a different seat"" error while booking is annoying cos it's clearly not the reason. Please consider making seat availability more transparent.",Sorry for the frustration with the seat selection. We can certainly look into this for you. Could you please DM us your booking reference and the details of the journey you're trying to book? ^AB,5,5,5,2
16c9100c069d888827bea479773577c3,Next time I go to Glasgow I will fly... this train is so uncomfortable 😫 @virgintrains,"I'm sorry to hear you're finding the journey uncomfortable. Please do speak to a member of our onboard team, as they may be able to assist you with your seating. ^BT",5,5,5,5
ad45c6c4398fef77817e3d8afb7eb83d,Thank you so much to Daniel and Sylvia from @VirginTrains @user who cared and gave first aid to my Mum who had a tumble at the station today #CustomerService #staffthatcare #thankyou @user,That’s so kind of you to share. We’re really glad Daniel and Sylvia were there to help your Mum. We’ll make sure to pass your lovely feedback on to them! ^JH,5,5,5,5
050ae4a2217bbc26f344eaaa713f33b4,Coffee machine broke on 0618 Nuneaton to London. Charged £2 for an instant coffee! #mostprofitiblecoffee,Sorry for the inconvenience caused by the coffee machine being out of order today. ^AN,5,5,3,2
4b625064ea434d3b51b207ee1f42a968,"so sorry to hear sad news, heading home to let people do their jobs. Can i try and travel tomorrow with todays ticket?","Hi, sorry to hear your news. Yes, you can use your ticket for today to travel tomorrow instead. Safe travels. ^BT",5,5,5,5
508a00efdeba695a03a5bc6327e677e3,Sort it Brano @virgintrains @user,Sorry to hear you're having trouble. Could you please DM us your journey details and the issue you're experiencing so we can look into this for you? ^CB,5,5,5,5
c5b4d90081a63869dda90e1bb1758121,"hi, I'm taking my mum down to London on Wednesday as a surprise prezzie for her 70th birthday! And it would be awfy nice to travel first class 😉","Hi there! That sounds like a lovely birthday surprise. Unfortunately, we aren't able to authorise free upgrades here, but it may be worth speaking to the Train Manager on the day to see if they can help. Have a great trip! ^HP",5,5,5,5
3ad4c91c367a44326936886f9273b8e2,"I have left my printed paper ticket at home, can I use the downloaded PDF e-version on my phone for travel?",Hi there. Could you please send us a DM with your booking reference number so we can take a look at this for you? ^MW,1,1,3,1
ab21519b4837ca8e369562c2d20f0808,How come @user WiFi codes work on multiple devices simultaneously but @VirginTrains are limited to single device?,"I'm afraid that's how our WiFi is set up at the moment, so it's limited to one device per code. Sorry for the frustration! ^MM",4,4,2,2
5145bd62a74288ccfb1ea61bf61a12d8,the way your staff treat cyclists is appalling. lucky to get on at new street as no one appeared to open the carriage,I'm really sorry to hear about your experience at New Street. Please send us a DM with your journey details and the time this happened so we can look into this with the station team. ^AB,5,5,5,5
c2bf980637f842e5adf9107c8c144018,can partner use @user as alternative route?,Hi there. Could you let us know which journey you're looking to make and what ticket type you hold? Please DM us those details so we can check the best alternative route for you. ^BT,5,5,5,5
2e000aa835f3aa59415807df1b0534aa,can I get any other train today going to Euston because the 14:30 from bham new street was cancelled?,I'm sorry for the cancellation. You can travel on the next available Virgin Trains service to Euston. ^HP,5,5,5,5
4856401e636fb071d90bdb9df803310b,"why do you have confiscate wine on the (delayed) Edinburgh to London train without a single pre-announcement, please?",I'm sorry to hear about this. Could you please DM us your coach number and the time of your train so we can look into this with our onboard team? ^HP,4,4,5,4
30baf05ae9e6acdbd6e7674c1672c1f7,That moment when you sit on the train and find this in the seat pocket 😮 #thingspeopleleaveontrains @VirginTrains,"Oh wow, that’s quite the find! Did you manage to hand it in to a member of our onboard team? ^MW",3,4,4,4
4653aeea2cd7520275ab215ed204603f,got a few questions for you.. why does the 18:15 from new street NEVER leave on time?? And why is it half a train?? #crushed,I'm sorry for the frustration caused by the delays and the shorter train today. Please send us a DM with your journey details so we can look into this for you. ^HP,5,4,4,3
b50c9376b630d6f53e4e873026a4cbd0,"“There’s plenty of seats at the back so you can’t sit in first class or pay an upgrade. I can’t get past the hordes of people to check on it, but there will be seats free” Virgin train conductor. 17.50 from Birmingham",I'm sorry to hear about your experience on the 17:50 service. Please send us a DM with your ticket details and the full account of what happened so our Customer Resolutions team can look into this for you. ^BT,5,5,5,5
6e49378451c0af8b71ee8f2c0ae63ac3,Have the wifi issues on the Birmingham to Euston line been rectified?,"Hi there. Sorry for the trouble with the Wi-Fi today. If you've experienced issues, you may be able to make a claim for compensation here: http://virgintrains.co.uk/help/refunds ^HP",2,2,4,2
00787440c8082c4c96512555087b519e,I’m due to catch the 14:30 London Euston to Warrington is this still going to be on time?,"Hi there. Which service are you referring to, and are you currently at the station? Let us know and we can check the latest for you. ^MW",3,3,2,3
7fecbf8ea78eb92934bbda1a23dda5aa,"Hi there, I need to pay a UFN but the website has got a technical issue. I can't call the 08 number from my phone but I need to pay it before I get charged. #helppleaseasap",Hi there. Sorry to hear you're having trouble with the website. Could you please DM us your details so we can look into this for you? ^CB,5,5,5,5
72338d1881378d32b15a175eae1e2ae9,can you help please? I need to get in contact with staff at cov train station regarding a season ticket refund due to an 1/2,Sorry to hear you've had trouble. Please drop us a DM with your ticket details and we can point you in the right direction for your refund request. ^HP,5,4,4,5
c2fcce6b1ace58d9ae468da4d97a7530,is there a Wi-Fi code for free WiFi for first class passengers?,"Hi there. We don't offer free Wi-Fi codes for First Class passengers, I'm afraid. You can purchase 24-hour access for £5 via the portal on board. ^AB",4,5,3,2
1609659a6ae6c1635c0147179bcdf819,Wifi on @VirginTrains is awful and not even free,"Sorry to hear you're having trouble with the WiFi. Please speak with the Train Manager on board, as they are best placed to assist you with this. ^MW",5,4,5,4
5a139271db08e3031ab8575817e0a3c8,lost our property at Euston tonight but no help until tomorrow morning!,"Hi, sorry to hear this. Please report your lost item to our team on 03331 031 031, selecting option 1 then 3. They will be able to assist you further. ^MW",5,5,5,5
fd4b292188ff1a9c18790605dd2f8bfd,Hi @VirginTrains! I submitted a refund form + have yet to hear back from you guys after sending the required details. Can you help? Booking ref = 2341083861 - Thanks!,"Hi there, sorry for the delay. Please send us a DM with your booking reference and email address so we can look into the status of your claim for you. ^HP",2,2,2,2
6bc80a475de462ce649b75194bc9335b,trains are like a sauna. So uncomfortable.,"Sorry to hear this. Please speak with the onboard staff regarding the temperature, as they are best placed to assist you with this. ^BT",5,5,3,2
a348e4bf0aa0ccf814f45ff044342548,I love the new voiceover in the toilets ‘go! You’re free!’ 😂 it’s the little things! ❤️,Glad you love them! We'll be sure to pass your feedback on to the team. Have a great day! 😃 ^BT,5,5,5,5
8ecb64a9f380c01c2846c074a06dc7a9,". @VirginTrains will there be compensation after the weekend disruption? My train arr late on Sat morn the return cancelled & when got on train no seat, food or drink!! #disappointing #hungryandthirsty",I'm really sorry to hear about your journey. Please head to our website to submit a claim via our Delay Repay form so our team can look into this for you. ^AB,5,5,5,5
04c7acb08e9b86ef9d50e5fbce1e875c,booked on the 12pm Euston to Manchester 1st class. Please advise of what I should do?,"Hi there, sorry to hear you're concerned about your journey. Could you please DM us your booking reference and the date of travel so we can take a look for you? ^AB",4,4,4,4
7f945fc50cff226cd320611d8dc1b830,@user delays to your trains twice this week which you are refusing to acknowledge -can you please sort my refund -been waiting on the phone for over an hour and have sent an email ... very poor customer service,I'm sorry for the frustration. Do you have a VT reference number you can share with us via DM so we can look into this for you? ^PA,5,5,5,5
213eefb6179b73e89a9bacc2d277df81,are any trains moving? Are the lines open?,You can check the latest service status and live updates here: http://virgintrains.co.uk/status ^MM,5,4,4,4
8b1c350ca63c11ea687db7eaa0bdcdaf,still waiting for my refund from the 24th of September when will this be processed?,"Hi there. It can take our Customer Resolutions Centre up to 28 days to fully process a refund. If it has been longer than this, please send us a DM with your booking reference so we can look into this for you. ^AB",5,5,5,4
50e5a927e0cd50131f7eecb3aaf05dbd,Why are the ppl who work on virgin trains absolute jobs worths @VirginTrains,I'm sorry to hear you've had a frustrating experience. Could you please DM us with more details about what happened so we can look into this for you? ^AB,1,1,1,1
d7b5e09e5c62d64a4af1b30edd22f961,Another fantastic travel journey @VirginTrains with great manager and fantastic service from Nathan Moss on the 1.50 pm train from New Street Birmingham.,That’s wonderful to hear! We’ll be sure to pass your kind words on to Nathan and the rest of the team. Thanks for sharing! ^AB,5,5,5,5
d84f3e466377b31853cb70c8d4a3e706,"Sorry @virgintrains - I wrongly blamed you for a cross country trains issue, my mistake #lovevirgintrains",No worries at all! Thanks for letting us know. Have a great day! ^BT,5,5,5,5
